January,Hour,kWh,MWh,February,Hour,kWh,MWh,March,Hour,kWh,MWh,April,Hour,kWh,MWh,May,Hour,kWh,MWh,June,Hour,kWh,MWh,July,Hour,kWh,MWh,August,Hour,kWh,MWh,September,Hour,kWh,MWh
1/1/23,1,"16,028.00",16.03,2/1/23,1,"16,203.00",16.203,3/1/23,1,"15,153.00",15.153,4/1/23,1,"15,354.00",15.354,5/1/23,1,"14,687.00",14.687,6/1/23,1,"14,774.00",14.774,7/1/23,1,"14,995.00",15,8/1/23,1,"14,833.00",14.83,9/1/23,1,"14,868.00",14.87
1/1/23,2,"16,161.00",16.16,2/1/23,2,"16,164.00",16.164,3/1/23,2,"15,228.00",15.228,4/1/23,2,"15,332.00",15.332,5/1/23,2,"14,658.00",14.658,6/1/23,2,"14,732.00",14.732,7/1/23,2,"14,995.00",15,8/1/23,2,"14,826.00",14.83,9/1/23,2,"14,868.00",14.87
1/1/23,3,"16,203.00",16.2,2/1/23,3,"16,155.00",16.155,3/1/23,3,"15,183.00",15.183,4/1/23,3,"15,290.00",15.29,5/1/23,3,"14,655.00",14.655,6/1/23,3,"14,667.00",14.667,7/1/23,3,"14,991.00",14.99,8/1/23,3,"14,813.00",14.81,9/1/23,3,"14,865.00",14.87
1/1/23,4,"16,181.00",16.18,2/1/23,4,"16,135.00",16.135,3/1/23,4,"15,209.00",15.209,4/1/23,4,"15,312.00",15.312,5/1/23,4,"14,651.00",14.651,6/1/23,4,"14,622.00",14.622,7/1/23,4,"14,998.00",15,8/1/23,4,"14,748.00",14.75,9/1/23,4,"14,829.00",14.83
1/1/23,5,"16,132.00",16.13,2/1/23,5,"16,074.00",16.074,3/1/23,5,"15,189.00",15.189,4/1/23,5,"15,354.00",15.354,5/1/23,5,"14,638.00",14.638,6/1/23,5,"14,609.00",14.609,7/1/23,5,"14,991.00",14.99,8/1/23,5,"14,719.00",14.72,9/1/23,5,"14,800.00",14.8
1/1/23,6,"16,109.00",16.11,2/1/23,6,"16,019.00",16.019,3/1/23,6,"15,209.00",15.209,4/1/23,6,"15,345.00",15.345,5/1/23,6,"14,625.00",14.625,6/1/23,6,"14,619.00",14.619,7/1/23,6,"14,953.00",14.95,8/1/23,6,"14,716.00",14.72,9/1/23,6,"14,784.00",14.78
1/1/23,7,"16,122.00",16.12,2/1/23,7,"16,012.00",16.012,3/1/23,7,"15,134.00",15.134,4/1/23,7,"15,380.00",15.38,5/1/23,7,"14,619.00",14.619,6/1/23,7,"14,642.00",14.642,7/1/23,7,"14,923.00",14.92,8/1/23,7,"14,742.00",14.74,9/1/23,7,"14,797.00",14.8
1/1/23,8,"16,132.00",16.13,2/1/23,8,"15,963.00",15.963,3/1/23,8,"15,283.00",15.283,4/1/23,8,"15,406.00",15.406,5/1/23,8,"14,638.00",14.638,6/1/23,8,"14,667.00",14.667,7/1/23,8,"14,930.00",14.93,8/1/23,8,"14,778.00",14.78,9/1/23,8,"14,745.00",14.75
1/1/23,9,"16,158.00",16.16,2/1/23,9,"15,947.00",15.947,3/1/23,9,"15,341.00",15.341,4/1/23,9,"15,212.00",15.212,5/1/23,9,"14,700.00",14.7,6/1/23,9,"14,755.00",14.755,7/1/23,9,"14,988.00",14.99,8/1/23,9,"14,875.00",14.88,9/1/23,9,"14,748.00",14.75
1/1/23,10,"16,210.00",16.21,2/1/23,10,"15,986.00",15.986,3/1/23,10,"15,422.00",15.422,4/1/23,10,"15,024.00",15.024,5/1/23,10,"14,768.00",14.768,6/1/23,10,"14,823.00",14.823,7/1/23,10,"15,050.00",15.05,8/1/23,10,"15,014.00",15.01,9/1/23,10,"14,817.00",14.82
1/1/23,11,"16,268.00",16.27,2/1/23,11,"15,973.00",15.973,3/1/23,11,"15,562.00",15.562,4/1/23,11,"14,946.00",14.946,5/1/23,11,"14,833.00",14.833,6/1/23,11,"14,865.00",14.865,7/1/23,11,"15,111.00",15.11,8/1/23,11,"15,173.00",15.17,9/1/23,11,"14,933.00",14.93
1/1/23,12,"16,356.00",16.36,2/1/23,12,"15,999.00",15.999,3/1/23,12,"15,750.00",15.75,4/1/23,12,"14,982.00",14.982,5/1/23,12,"14,859.00",14.859,6/1/23,12,"14,946.00",14.946,7/1/23,12,"15,254.00",15.25,8/1/23,12,"15,315.00",15.32,9/1/23,12,"15,043.00",15.04
1/1/23,13,"16,543.00",16.54,2/1/23,13,"16,074.00",16.074,3/1/23,13,"15,989.00",15.989,4/1/23,13,"15,192.00",15.192,5/1/23,13,"14,920.00",14.92,6/1/23,13,"15,024.00",15.024,7/1/23,13,"15,477.00",15.48,8/1/23,13,"13,550.00",13.55,9/1/23,13,"15,098.00",15.1
1/1/23,14,"16,420.00",16.42,2/1/23,14,"16,038.00",16.038,3/1/23,14,"16,190.00",16.19,4/1/23,14,"15,419.00",15.419,5/1/23,14,"14,966.00",14.966,6/1/23,14,"15,105.00",15.105,7/1/23,14,"13,533.00",13.53,8/1/23,14,311,0.31,9/1/23,14,"15,189.00",15.19
1/1/23,15,"16,349.00",16.35,2/1/23,15,"16,106.00",16.106,3/1/23,15,"16,226.00",16.226,4/1/23,15,"15,659.00",15.659,5/1/23,15,"15,034.00",15.034,6/1/23,15,"15,147.00",15.147,7/1/23,15,324,0.32,8/1/23,15,305,0.31,9/1/23,15,"15,170.00",15.17
1/1/23,16,"16,582.00",16.58,2/1/23,16,"16,181.00",16.181,3/1/23,16,"16,249.00",16.249,4/1/23,16,"15,789.00",15.789,5/1/23,16,"15,102.00",15.102,6/1/23,16,"15,173.00",15.173,7/1/23,16,324,0.32,8/1/23,16,295,0.3,9/1/23,16,"15,170.00",15.17
1/1/23,17,"16,663.00",16.66,2/1/23,17,"16,242.00",16.242,3/1/23,17,"16,148.00",16.148,4/1/23,17,"15,831.00",15.831,5/1/23,17,"15,137.00",15.137,6/1/23,17,"15,228.00",15.228,7/1/23,17,318,0.32,8/1/23,17,288,0.29,9/1/23,17,"15,264.00",15.26
1/1/23,18,"16,537.00",16.54,2/1/23,18,"16,171.00",16.171,3/1/23,18,"16,113.00",16.113,4/1/23,18,"15,837.00",15.837,5/1/23,18,"15,131.00",15.131,6/1/23,18,"15,270.00",15.27,7/1/23,18,308,0.31,8/1/23,18,285,0.29,9/1/23,18,"15,241.00",15.24
1/1/23,19,"16,232.00",16.23,2/1/23,19,"16,051.00",16.051,3/1/23,19,"16,041.00",16.041,4/1/23,19,"15,727.00",15.727,5/1/23,19,"15,069.00",15.069,6/1/23,19,"15,247.00",15.247,7/1/23,19,295,0.3,8/1/23,19,275,0.28,9/1/23,19,"15,137.00",15.14
1/1/23,20,"16,048.00",16.05,2/1/23,20,"15,951.00",15.951,3/1/23,20,"15,989.00",15.989,4/1/23,20,"15,558.00",15.558,5/1/23,20,"14,979.00",14.979,6/1/23,20,"15,199.00",15.199,7/1/23,20,"12,561.00",12.56,8/1/23,20,253,0.25,9/1/23,20,"15,043.00",15.04
1/1/23,21,"15,947.00",15.95,2/1/23,21,"15,934.00",15.934,3/1/23,21,"15,976.00",15.976,4/1/23,21,"15,445.00",15.445,5/1/23,21,"14,868.00",14.868,6/1/23,21,"15,128.00",15.128,7/1/23,21,"13,679.00",13.68,8/1/23,21,"12,105.00",12.11,9/1/23,21,"14,956.00",14.96
1/1/23,22,"15,902.00",15.9,2/1/23,22,"15,873.00",15.873,3/1/23,22,"15,902.00",15.902,4/1/23,22,"15,319.00",15.319,5/1/23,22,"14,810.00",14.81,6/1/23,22,"14,962.00",14.962,7/1/23,22,"13,300.00",13.3,8/1/23,22,"15,131.00",15.13,9/1/23,22,"14,875.00",14.88
1/1/23,23,"15,863.00",15.86,2/1/23,23,"15,918.00",15.918,3/1/23,23,"15,960.00",15.96,4/1/23,23,"15,212.00",15.212,5/1/23,23,"14,797.00",14.797,6/1/23,23,"14,800.00",14.8,7/1/23,23,"13,443.00",13.44,8/1/23,23,"15,034.00",15.03,9/1/23,23,"14,820.00",14.82
1/1/23,24,"15,824.00",15.82,2/1/23,24,"15,866.00",15.866,3/1/23,24,"15,980.00",15.98,4/1/23,24,"15,102.00",15.102,5/1/23,24,"14,752.00",14.752,6/1/23,24,"14,732.00",14.732,7/1/23,24,"12,510.00",12.51,8/1/23,24,"14,917.00",14.92,9/1/23,24,"14,755.00",14.76
1/2/23,1,"15,801.00",15.8,2/2/23,1,"15,860.00",15.86,3/2/23,1,"15,902.00",15.902,4/2/23,1,"14,936.00",14.936,5/2/23,1,"14,729.00",14.729,6/2/23,1,"14,716.00",14.716,7/2/23,1,"12,565.00",12.57,8/2/23,1,"14,962.00",14.96,9/2/23,1,"14,732.00",14.73
1/2/23,2,"15,772.00",15.77,2/2/23,2,"15,840.00",15.84,3/2/23,2,"15,941.00",15.941,4/2/23,2,"14,765.00",14.765,5/2/23,2,"14,726.00",14.726,6/2/23,2,"14,703.00",14.703,7/2/23,2,"13,303.00",13.3,8/2/23,2,"14,936.00",14.94,9/2/23,2,"14,723.00",14.72
1/2/23,3,"15,769.00",15.77,2/2/23,3,"15,827.00",15.827,3/2/23,3,"15,905.00",15.905,4/2/23,3,"14,677.00",14.677,5/2/23,3,"14,690.00",14.69,6/2/23,3,"14,677.00",14.677,7/2/23,3,"13,329.00",13.33,8/2/23,3,"14,885.00",14.89,9/2/23,3,"14,716.00",14.72
1/2/23,4,"15,763.00",15.76,2/2/23,4,"15,857.00",15.857,3/2/23,4,"15,792.00",15.792,4/2/23,4,"14,629.00",14.629,5/2/23,4,"14,655.00",14.655,6/2/23,4,"14,638.00",14.638,7/2/23,4,"13,342.00",13.34,8/2/23,4,"14,878.00",14.88,9/2/23,4,"14,706.00",14.71
1/2/23,5,"15,750.00",15.75,2/2/23,5,"15,840.00",15.84,3/2/23,5,"15,870.00",15.87,4/2/23,5,"14,593.00",14.593,5/2/23,5,"14,642.00",14.642,6/2/23,5,"14,664.00",14.664,7/2/23,5,"13,316.00",13.32,8/2/23,5,"14,865.00",14.87,9/2/23,5,"14,693.00",14.69
