January,Hour,MWh,February,Hour,MWh,March,Hour,MWh,April,Hour,MWh,May,Hour,MWh,June,Hour,MWh,July,Hour,MWh,August,Hour,MWh,September,Hour,MWh
1/1/23,1,35.67,2/1/23,1,36.75,3/1/23,1,35.51,4/1/23,1,35.85,5/1/23,1,34.92,6/1/23,1,35.72,7/1/23,1,36.41,8/1/23,1,83.24,9/1/23,1,86.45
1/1/23,2,35.81,2/1/23,2,36.79,3/1/23,2,35.76,4/1/23,2,35.82,5/1/23,2,34.87,6/1/23,2,35.7,7/1/23,2,36.9,8/1/23,2,84.28,9/1/23,2,86.26
1/1/23,3,35.6,2/1/23,3,36.68,3/1/23,3,35.87,4/1/23,3,35.93,5/1/23,3,34.54,6/1/23,3,35.56,7/1/23,3,37.03,8/1/23,3,84.48,9/1/23,3,86.32
1/1/23,4,35.9,2/1/23,4,36.68,3/1/23,4,35.85,4/1/23,4,35.9,5/1/23,4,34.63,6/1/23,4,35.36,7/1/23,4,36.91,8/1/23,4,84.17,9/1/23,4,86.3
1/1/23,5,35.78,2/1/23,5,36.56,3/1/23,5,35.89,4/1/23,5,35.63,5/1/23,5,34.61,6/1/23,5,35.57,7/1/23,5,36.89,8/1/23,5,84.23,9/1/23,5,86.07
1/1/23,6,35.69,2/1/23,6,36.45,3/1/23,6,36.22,4/1/23,6,35.52,5/1/23,6,34.64,6/1/23,6,35.78,7/1/23,6,36.98,8/1/23,6,84.17,9/1/23,6,86
1/1/23,7,35.52,2/1/23,7,36.83,3/1/23,7,36.68,4/1/23,7,35.69,5/1/23,7,35.05,6/1/23,7,36.38,7/1/23,7,36.89,8/1/23,7,84.59,9/1/23,7,86.64
1/1/23,8,35.47,2/1/23,8,36.78,3/1/23,8,36.77,4/1/23,8,35.87,5/1/23,8,35.07,6/1/23,8,36.5,7/1/23,8,37.04,8/1/23,8,85.22,9/1/23,8,86.45
1/1/23,9,35.86,2/1/23,9,36.83,3/1/23,9,36.59,4/1/23,9,35.81,5/1/23,9,35.51,6/1/23,9,36.81,7/1/23,9,37.38,8/1/23,9,85.1,9/1/23,9,86.57
1/1/23,10,35.91,2/1/23,10,36.9,3/1/23,10,36.97,4/1/23,10,35.87,5/1/23,10,35.78,6/1/23,10,36.66,7/1/23,10,37.43,8/1/23,10,86.04,9/1/23,10,86.63
1/1/23,11,35.94,2/1/23,11,37.22,3/1/23,11,37.26,4/1/23,11,35.6,5/1/23,11,36.05,6/1/23,11,37.08,7/1/23,11,37.79,8/1/23,11,86.84,9/1/23,11,87.25
1/1/23,12,35.8,2/1/23,12,37.24,3/1/23,12,37.29,4/1/23,12,34.97,5/1/23,12,36.19,6/1/23,12,37.43,7/1/23,12,37.9,8/1/23,12,87.02,9/1/23,12,87.55
1/1/23,13,35.97,2/1/23,13,37.14,3/1/23,13,37.18,4/1/23,13,34.97,5/1/23,13,36.09,6/1/23,13,37.49,7/1/23,13,37.9,8/1/23,13,87.43,9/1/23,13,88.1
1/1/23,14,36.04,2/1/23,14,37.49,3/1/23,14,37.86,4/1/23,14,35.51,5/1/23,14,36.29,6/1/23,14,37.48,7/1/23,14,37.94,8/1/23,14,87.6,9/1/23,14,88.17
1/1/23,15,36.11,2/1/23,15,37.44,3/1/23,15,37.93,4/1/23,15,36.37,5/1/23,15,36.26,6/1/23,15,37.38,7/1/23,15,38.03,8/1/23,15,87.96,9/1/23,15,87.52
1/1/23,16,36.05,2/1/23,16,37.36,3/1/23,16,38.06,4/1/23,16,36.36,5/1/23,16,36.38,6/1/23,16,37.39,7/1/23,16,38.03,8/1/23,16,88.27,9/1/23,16,87.28
1/1/23,17,35.86,2/1/23,17,37.08,3/1/23,17,37.75,4/1/23,17,36.13,5/1/23,17,35.93,6/1/23,17,37.35,7/1/23,17,37.67,8/1/23,17,88.72,9/1/23,17,87.78
