zone,January,Nuclear,Coal,Wind,Solar,Hydro,Gas,Oil,Unknown,fossilFreePercentage,renewablePercentage,AOER,,zone,February,Nuclear,Coal,Wind,Solar,Hydro,Gas,Oil,Unknown,fossilFreePercentage,renewablePercentage,AOER,,zone,March,Nuclear,Coal,Wind,Solar,Hydro,Gas,Oil,Unknown,fossilFreePercentage,renewablePercentage,AOER,,zone,April,Nuclear,Coal,Wind,Solar,Hydro,Gas,Oil,Unknown,fossilFreePercentage,renewablePercentage,AOER,,zone,May,Nuclear,Coal,Wind,Solar,Hydro,Gas,Oil,Unknown,fossilFreePercentage,renewablePercentage,AOER,,zone,June,Nuclear,Coal,Wind,Solar,Hydro,Gas,Oil,Unknown,fossilFreePercentage,renewablePercentage,AOER,,zone,July,Nuclear,Coal,Wind,Solar,Hydro,Gas,Oil,Unknown,fossilFreePercentage,renewablePercentage,AOER,,zone,August,Nuclear,Coal,Wind,Solar,Hydro,Gas,Oil,Unknown,fossilFreePercentage,renewablePercentage,AOER,,zone,September,Nuclear,Coal,Wind,Solar,Hydro,Gas,Oil,Unknown,fossilFreePercentage,renewablePercentage,AOER
ZoneA,2023-01-01 0:00,357,230,0,0,87,664,0,0,33,7,348,,ZoneA,2023-02-01 0:00,661,560,0,0,166,1300,0,0,31,6,374,,ZoneA,2023-03-01 0:00,562,233,1,0,302,1271,0,5,36,13,303,,ZoneA,2023-04-01 0:00,577,500,0,0,281,803,0,3,40,13,348,,ZoneA,2023-05-01 0:00,252,459,0,1,258,1511,0,11,21,11,405,,ZoneA,2023-06-01 0:00,564,385,0,2,236,1317,0,7,32,9,303,,ZoneA,2023-07-01 0:00,581,665,0,550,65,1821,0,5,32,17,310,,ZoneA,2023-08-01 0:00,605,544,0,515,84,2198,0,5,30,17,345,,ZoneA,2023-09-01 0:00,609,288,0,561,87,1962,0,8,36,18,299
ZoneA,2023-01-01 1:00,364,229,0,0,80,682,0,0,33,6,349,,ZoneA,2023-02-01 1:00,661,611,0,0,117,1211,0,0,30,5,389,,ZoneA,2023-03-01 1:00,547,225,1,0,227,1251,0,5,34,10,312,,ZoneA,2023-04-01 1:00,566,490,0,0,275,756,0,3,40,13,348,,ZoneA,2023-05-01 1:00,234,456,0,0,241,1443,0,11,20,10,411,,ZoneA,2023-06-01 1:00,556,380,0,0,194,1300,0,6,31,8,305,,ZoneA,2023-07-01 1:00,588,669,0,482,113,1899,0,5,31,16,314,,ZoneA,2023-08-01 1:00,598,542,0,446,165,2168,0,5,31,16,343,,ZoneA,2023-09-01 1:00,599,344,0,449,137,1962,0,5,34,17,313
ZoneA,2023-01-01 2:00,348,219,0,0,58,657,0,0,32,5,354,,ZoneA,2023-02-01 2:00,661,645,0,0,33,1162,0,0,28,1,408,,ZoneA,2023-03-01 2:00,545,220,1,0,133,1210,0,6,32,6,323,,ZoneA,2023-04-01 2:00,560,442,0,0,256,702,0,4,42,13,338,,ZoneA,2023-05-01 2:00,244,449,0,0,188,1357,0,12,19,8,417,,ZoneA,2023-06-01 2:00,546,364,0,0,80,1221,0,7,28,4,314,,ZoneA,2023-07-01 2:00,587,678,0,417,215,1897,0,5,32,17,321,,ZoneA,2023-08-01 2:00,606,557,0,350,202,2143,0,5,30,17,350,,ZoneA,2023-09-01 2:00,594,431,0,242,187,1932,0,5,30,13,341
ZoneA,2023-01-01 3:00,344,215,0,0,40,639,0,0,31,3,358,,ZoneA,2023-02-01 3:00,663,690,0,0,25,1010,0,0,29,1,418,,ZoneA,2023-03-01 3:00,541,210,1,0,48,1109,0,6,31,3,331,,ZoneA,2023-04-01 3:00,551,399,0,0,177,714,0,4,39,10,343,,ZoneA,2023-05-01 3:00,250,436,0,0,156,1280,0,13,19,7,420,,ZoneA,2023-06-01 3:00,536,336,0,0,33,1085,0,7,29,2,324,,ZoneA,2023-07-01 3:00,576,671,0,293,227,1898,0,5,30,14,338,,ZoneA,2023-08-01 3:00,603,593,0,100,274,2154,0,6,26,14,371,,ZoneA,2023-09-01 3:00,598,519,0,31,159,1906,0,6,24,6,379
ZoneA,2023-01-01 4:00,331,208,0,0,27,604,0,0,31,2,362,,ZoneA,2023-02-01 4:00,661,643,0,0,25,946,0,0,30,1,409,,ZoneA,2023-03-01 4:00,518,197,1,0,45,991,0,7,32,3,327,,ZoneA,2023-04-01 4:00,526,377,1,0,95,702,0,4,36,6,357,,ZoneA,2023-05-01 4:00,225,355,0,0,128,1201,0,12,19,7,414,,ZoneA,2023-06-01 4:00,518,310,0,0,28,955,0,7,30,2,355,,ZoneA,2023-07-01 4:00,584,667,0,102,259,1917,0,4,27,10,353,,ZoneA,2023-08-01 4:00,600,562,0,3,299,2053,0,6,26,10,374,,ZoneA,2023-09-01 4:00,589,519,0,0,144,1792,0,5,24,5,385
ZoneA,2023-01-01 5:00,319,201,0,0,23,563,0,0,31,2,362,,ZoneA,2023-02-01 5:00,662,631,0,0,24,943,0,0,30,1,407,,ZoneA,2023-03-01 5:00,504,198,1,0,41,888,0,6,33,3,326,,ZoneA,2023-04-01 5:00,529,373,1,0,48,660,0,3,36,3,364,,ZoneA,2023-05-01 5:00,217,346,0,0,118,1119,0,12,19,7,417,,ZoneA,2023-06-01 5:00,551,331,0,0,24,962,0,8,31,1,388,,ZoneA,2023-07-01 5:00,571,653,0,8,249,1855,0,0,25,8,359,,ZoneA,2023-08-01 5:00,599,474,0,0,288,1959,0,6,27,9,362,,ZoneA,2023-09-01 5:00,592,477,0,0,62,1721,0,6,23,2,389
ZoneA,2023-01-01 6:00,336,212,0,0,13,591,0,0,30,1,365,,ZoneA,2023-02-01 6:00,662,678,0,0,24,906,0,0,30,1,416,,ZoneA,2023-03-01 6:00,492,191,1,0,37,826,0,7,34,2,323,,ZoneA,2023-04-01 6:00,527,350,1,0,40,634,0,4,36,3,359,,ZoneA,2023-05-01 6:00,218,348,0,0,113,1080,0,12,19,7,418,,ZoneA,2023-06-01 6:00,552,330,0,0,23,970,0,8,31,1,389,,ZoneA,2023-07-01 6:00,560,623,0,0,238,1750,0,0,25,8,353,,ZoneA,2023-08-01 6:00,594,451,0,0,237,1712,0,6,28,9,362,,ZoneA,2023-09-01 6:00,588,307,0,0,23,1700,0,6,23,1,365
ZoneA,2023-01-01 7:00,327,210,0,0,11,579,0,0,30,1,367,,ZoneA,2023-02-01 7:00,661,677,0,0,25,900,0,0,30,1,416,,ZoneA,2023-03-01 7:00,492,185,1,0,37,803,0,6,35,2,320,,ZoneA,2023-04-01 7:00,535,351,1,0,39,668,0,4,36,3,359,,ZoneA,2023-05-01 7:00,215,345,0,0,108,1063,0,11,19,6,420,,ZoneA,2023-06-01 7:00,558,340,0,0,22,998,0,7,30,1,402,,ZoneA,2023-07-01 7:00,566,457,0,0,200,1706,0,0,26,7,356,,ZoneA,2023-08-01 7:00,589,439,0,0,64,1589,0,6,24,8,381,,ZoneA,2023-09-01 7:00,575,271,0,0,21,1476,0,6,25,1,356
ZoneA,2023-01-01 8:00,339,225,0,0,10,608,0,0,30,1,371,,ZoneA,2023-02-01 8:00,661,686,0,0,23,931,0,0,30,1,418,,ZoneA,2023-03-01 8:00,497,189,1,0,36,805,0,6,35,2,321,,ZoneA,2023-04-01 8:00,534,354,1,0,40,666,0,6,36,3,360,,ZoneA,2023-05-01 8:00,219,348,0,0,111,1102,0,11,19,6,418,,ZoneA,2023-06-01 8:00,560,339,0,0,22,1002,0,7,30,1,385,,ZoneA,2023-07-01 8:00,593,417,0,0,42,1642,0,0,24,2,368,,ZoneA,2023-08-01 8:00,584,432,0,0,20,1419,0,6,25,2,386,,ZoneA,2023-09-01 8:00,577,268,0,0,21,1276,0,7,28,1,350
ZoneA,2023-01-01 9:00,349,235,0,0,18,645,0,0,29,1,371,,ZoneA,2023-02-01 9:00,662,670,0,0,25,972,0,0,29,1,414,,ZoneA,2023-03-01 9:00,507,193,1,0,40,866,0,8,34,3,323,,ZoneA,2023-04-01 9:00,528,345,1,0,40,668,0,4,36,3,358,,ZoneA,2023-05-01 9:00,221,353,0,0,112,1212,0,11,18,6,418,,ZoneA,2023-06-01 9:00,562,341,0,0,20,1008,0,8,30,1,375,,ZoneA,2023-07-01 9:00,584,410,0,0,20,1488,0,0,24,1,351,,ZoneA,2023-08-01 9:00,583,417,0,0,20,1336,0,7,26,1,383,,ZoneA,2023-09-01 9:00,579,264,0,0,18,1174,0,10,29,1,347
