Date,Hour,kWh,MWh
1/1/23,1.0,"16,028.00",16.03
1/1/23,2.0,"16,161.00",16.16
1/1/23,3.0,"16,203.00",16.2
1/1/23,4.0,"16,181.00",16.18
1/1/23,5.0,"16,132.00",16.13
1/1/23,6.0,"16,109.00",16.11
1/1/23,7.0,"16,122.00",16.12
1/1/23,8.0,"16,132.00",16.13
1/1/23,9.0,"16,158.00",16.16
1/1/23,10.0,"16,210.00",16.21
1/1/23,11.0,"16,268.00",16.27
1/1/23,12.0,"16,356.00",16.36
1/1/23,13.0,"16,543.00",16.54
1/1/23,14.0,"16,420.00",16.42
1/1/23,15.0,"16,349.00",16.35
1/1/23,16.0,"16,582.00",16.58
1/1/23,17.0,"16,663.00",16.66
1/1/23,18.0,"16,537.00",16.54
1/1/23,19.0,"16,232.00",16.23
1/1/23,20.0,"16,048.00",16.05
1/1/23,21.0,"15,947.00",15.95
1/1/23,22.0,"15,902.00",15.9
1/1/23,23.0,"15,863.00",15.86
1/1/23,24.0,"15,824.00",15.82
1/2/23,1.0,"15,801.00",15.8
1/2/23,2.0,"15,772.00",15.77
1/2/23,3.0,"15,769.00",15.77
1/2/23,4.0,"15,763.00",15.76
1/2/23,5.0,"15,750.00",15.75
1/2/23,6.0,"15,746.00",15.75
1/2/23,7.0,"15,795.00",15.8
1/2/23,8.0,"15,834.00",15.83
1/2/23,9.0,"15,876.00",15.88
1/2/23,10.0,"15,993.00",15.99
1/2/23,11.0,"16,203.00",16.2
1/2/23,12.0,"16,401.00",16.4
1/2/23,13.0,"16,333.00",16.33
1/2/23,14.0,"16,521.00",16.52
1/2/23,15.0,"16,492.00",16.49
1/2/23,16.0,"16,472.00",16.47
1/2/23,17.0,"16,505.00",16.51
1/2/23,18.0,"16,511.00",16.51
1/2/23,19.0,"16,492.00",16.49
1/2/23,20.0,"16,498.00",16.5
1/2/23,21.0,"16,530.00",16.53
1/2/23,22.0,"16,462.00",16.46
1/2/23,23.0,"16,404.00",16.4
1/2/23,24.0,"16,300.00",16.3
1/3/23,1.0,"16,203.00",16.2
1/3/23,2.0,"16,262.00",16.26
1/3/23,3.0,"16,449.00",16.45
1/3/23,4.0,"16,582.00",16.58
1/3/23,5.0,"16,621.00",16.62
1/3/23,6.0,"16,611.00",16.61
1/3/23,7.0,"16,579.00",16.58
1/3/23,8.0,"16,602.00",16.6
1/3/23,9.0,"16,608.00",16.61
1/3/23,10.0,"16,641.00",16.64
1/3/23,11.0,"16,647.00",16.65
1/3/23,12.0,"16,064.00",16.06
1/3/23,13.0,"16,595.00",16.6
1/3/23,14.0,"16,751.00",16.75
1/3/23,15.0,"16,757.00",16.76
1/3/23,16.0,"16,761.00",16.76
1/3/23,17.0,"16,712.00",16.71
1/3/23,18.0,"16,673.00",16.67
