Date,Hour,MWh,kWh
1/1/23,1.0,61.24,61240.0
1/1/23,2.0,61.23,61230.0
1/1/23,3.0,61.47,61470.0
1/1/23,4.0,61.41,61410.0
1/1/23,5.0,61.25,61250.0
1/1/23,6.0,60.98,60980.0
1/1/23,7.0,60.92,60920.0
1/1/23,8.0,60.93,60930.0
1/1/23,9.0,61.09,61090.0
1/1/23,10.0,61.38,61380.0
1/1/23,11.0,61.55,61550.0
1/1/23,12.0,61.68,61680.0
1/1/23,13.0,61.91,61910.0
1/1/23,14.0,62.03,62030.0
1/1/23,15.0,61.97,61970.0
1/1/23,16.0,61.89,61890.0
1/1/23,17.0,61.92,61920.0
1/1/23,18.0,60.86,60860.0
1/1/23,19.0,57.99,57990.0
1/1/23,20.0,61.21,61210.0
1/1/23,21.0,61.35,61350.0
1/1/23,22.0,61.41,61410.0
1/1/23,23.0,61.21,61210.0
1/1/23,24.0,61.1,61100.0
1/2/23,1.0,60.96,60960.0
1/2/23,2.0,61.04,61040.0
1/2/23,3.0,60.97,60970.0
1/2/23,4.0,60.92,60920.0
1/2/23,5.0,60.84,60840.0
1/2/23,6.0,60.8,60800.0
1/2/23,7.0,60.76,60760.0
1/2/23,8.0,60.71,60710.0
1/2/23,9.0,61.04,61040.0
1/2/23,10.0,61.84,61840.0
1/2/23,11.0,62.1,62100.0
1/2/23,12.0,62.03,62030.0
1/2/23,13.0,61.82,61820.0
1/2/23,14.0,61.67,61670.0
1/2/23,15.0,61.15,61150.0
1/2/23,16.0,60.91,60910.0
1/2/23,17.0,59.36,59360.0
1/2/23,18.0,60.47,60470.0
1/2/23,19.0,61.34,61340.0
1/2/23,20.0,62.0,62000.0
1/2/23,21.0,62.09,62090.0
1/2/23,22.0,62.03,62030.0
1/2/23,23.0,62.29,62290.0
1/2/23,24.0,62.67,62670.0
1/3/23,1.0,62.69,62690.0
1/3/23,2.0,62.68,62680.0
1/3/23,3.0,62.72,62720.0
1/3/23,4.0,62.85,62850.0
1/3/23,5.0,62.7,62700.0
1/3/23,6.0,62.91,62910.0
1/3/23,7.0,63.15,63150.0
1/3/23,8.0,62.86,62860.0
1/3/23,9.0,63.15,63150.0
1/3/23,10.0,63.19,63190.0
1/3/23,11.0,63.3,63300.0
