Date,Hour,MWh,kWh
1/1/23,1.0,35.67,35670.0
1/1/23,2.0,35.81,35810.0
1/1/23,3.0,35.6,35600.0
1/1/23,4.0,35.9,35900.0
1/1/23,5.0,35.78,35780.0
1/1/23,6.0,35.69,35690.0
1/1/23,7.0,35.52,35520.0
1/1/23,8.0,35.47,35470.0
1/1/23,9.0,35.86,35860.0
1/1/23,10.0,35.91,35910.0
1/1/23,11.0,35.94,35940.0
1/1/23,12.0,35.8,35800.0
1/1/23,13.0,35.97,35970.0
1/1/23,14.0,36.04,36040.0
1/1/23,15.0,36.11,36110.0
1/1/23,16.0,36.05,36050.0
1/1/23,17.0,35.86,35860.0
1/1/23,18.0,35.72,35720.0
1/1/23,19.0,35.67,35670.0
1/1/23,20.0,35.42,35420.0
1/1/23,21.0,35.24,35240.0
1/1/23,22.0,35.45,35450.0
1/1/23,23.0,35.42,35420.0
1/1/23,24.0,35.69,35690.0
1/2/23,1.0,35.75,35750.0
1/2/23,2.0,35.72,35720.0
1/2/23,3.0,35.6,35600.0
1/2/23,4.0,35.32,35320.0
1/2/23,5.0,35.35,35350.0
1/2/23,6.0,35.87,35870.0
1/2/23,7.0,35.92,35920.0
1/2/23,8.0,35.6,35600.0
1/2/23,9.0,35.99,35990.0
1/2/23,10.0,36.4,36400.0
1/2/23,11.0,36.8,36800.0
1/2/23,12.0,37.06,37060.0
1/2/23,13.0,37.13,37130.0
1/2/23,14.0,37.29,37290.0
1/2/23,15.0,37.22,37220.0
1/2/23,16.0,37.34,37340.0
1/2/23,17.0,36.62,36620.0
1/2/23,18.0,35.94,35940.0
1/2/23,19.0,35.52,35520.0
1/2/23,20.0,35.58,35580.0
1/2/23,21.0,35.64,35640.0
1/2/23,22.0,35.31,35310.0
1/2/23,23.0,35.4,35400.0
1/2/23,24.0,35.39,35390.0
1/3/23,1.0,35.48,35480.0
1/3/23,2.0,35.52,35520.0
1/3/23,3.0,35.54,35540.0
1/3/23,4.0,35.53,35530.0
1/3/23,5.0,35.41,35410.0
1/3/23,6.0,35.9,35900.0
1/3/23,7.0,36.53,36530.0
1/3/23,8.0,36.6,36600.0
1/3/23,9.0,36.58,36580.0
1/3/23,10.0,36.67,36670.0
1/3/23,11.0,36.59,36590.0
1/3/23,12.0,36.53,36530.0
1/3/23,13.0,36.77,36770.0
1/3/23,14.0,36.69,36690.0
1/3/23,15.0,36.53,36530.0
1/3/23,16.0,36.46,36460.0
1/3/23,17.0,35.96,35960.0
1/3/23,18.0,35.48,35480.0
1/3/23,19.0,35.45,35450.0
1/3/23,20.0,35.51,35510.0
1/3/23,21.0,35.41,35410.0
1/3/23,22.0,35.25,35250.0
1/3/23,23.0,35.34,35340.0
1/3/23,24.0,35.32,35320.0
1/4/23,1.0,35.51,35510.0
1/4/23,2.0,35.58,35580.0
1/4/23,3.0,35.52,35520.0
1/4/23,4.0,35.64,35640.0
1/4/23,5.0,35.66,35660.0
1/4/23,6.0,36.14,36140.0
1/4/23,7.0,36.0,36000.0
1/4/23,8.0,36.32,36320.0
1/4/23,9.0,36.39,36390.0
1/4/23,10.0,35.86,35860.0
1/4/23,11.0,35.75,35750.0
1/4/23,12.0,35.59,35590.0
1/4/23,13.0,36.32,36320.0
1/4/23,14.0,36.27,36270.0
1/4/23,15.0,35.88,35880.0
1/4/23,16.0,35.53,35530.0
1/4/23,17.0,35.33,35330.0
1/4/23,18.0,35.64,35640.0
1/4/23,19.0,35.52,35520.0
1/4/23,20.0,35.42,35420.0
1/4/23,21.0,35.15,35150.0
1/4/23,22.0,35.19,35190.0
1/4/23,23.0,35.15,35150.0
1/4/23,24.0,35.18,35180.0
1/5/23,1.0,35.15,35150.0
1/5/23,2.0,35.17,35170.0
1/5/23,3.0,35.03,35030.0
1/5/23,4.0,34.8,34800.0
1/5/23,5.0,34.83,34830.0
1/5/23,6.0,34.62,34620.0
1/5/23,7.0,34.41,34410.0
1/5/23,8.0,34.11,34110.0
1/5/23,9.0,34.17,34170.0
1/5/23,10.0,32.95,32950.0
1/5/23,11.0,33.4,33400.0
1/5/23,12.0,33.8,33800.0
1/5/23,13.0,35.85,35850.0
1/5/23,14.0,30.2,30200.0
1/5/23,15.0,30.6,30600.0
1/5/23,16.0,29.31,29310.0
1/5/23,17.0,35.44,35440.0
1/5/23,18.0,35.29,35290.0
1/5/23,19.0,35.52,35520.0
1/5/23,20.0,35.37,35370.0
1/5/23,21.0,35.25,35250.0
1/5/23,22.0,35.24,35240.0
1/5/23,23.0,35.15,35150.0
1/5/23,24.0,35.0,35000.0
1/6/23,1.0,34.97,34970.0
1/6/23,2.0,34.94,34940.0
1/6/23,3.0,34.92,34920.0
1/6/23,4.0,34.88,34880.0
1/6/23,5.0,34.87,34870.0
1/6/23,6.0,34.86,34860.0
1/6/23,7.0,34.88,34880.0
1/6/23,8.0,34.88,34880.0
1/6/23,9.0,34.91,34910.0
1/6/23,10.0,34.99,34990.0
1/6/23,11.0,35.3,35300.0
1/6/23,12.0,35.23,35230.0
1/6/23,13.0,35.38,35380.0
1/6/23,14.0,35.44,35440.0
1/6/23,15.0,35.72,35720.0
1/6/23,16.0,35.72,35720.0
1/6/23,17.0,35.69,35690.0
1/6/23,18.0,35.43,35430.0
1/6/23,19.0,35.08,35080.0
1/6/23,20.0,35.13,35130.0
1/6/23,21.0,35.07,35070.0
1/6/23,22.0,35.02,35020.0
1/6/23,23.0,34.93,34930.0
1/6/23,24.0,34.77,34770.0
1/7/23,1.0,34.68,34680.0
1/7/23,2.0,34.71,34710.0
1/7/23,3.0,34.68,34680.0
1/7/23,4.0,34.87,34870.0
