Zone,Date,Nuclear,Coal,Wind,Solar,Hydro,Gas,Oil,Unknown,fossilFreePercentage,renewablePercentage,AOER
ZoneA,2023-01-01 0:00,357.0,230.0,0.0,0.0,87.0,664.0,0.0,0.0,33.0,7.0,348.0
ZoneA,2023-01-01 1:00,364.0,229.0,0.0,0.0,80.0,682.0,0.0,0.0,33.0,6.0,349.0
ZoneA,2023-01-01 2:00,348.0,219.0,0.0,0.0,58.0,657.0,0.0,0.0,32.0,5.0,354.0
ZoneA,2023-01-01 3:00,344.0,215.0,0.0,0.0,40.0,639.0,0.0,0.0,31.0,3.0,358.0
ZoneA,2023-01-01 4:00,331.0,208.0,0.0,0.0,27.0,604.0,0.0,0.0,31.0,2.0,362.0
ZoneA,2023-01-01 5:00,319.0,201.0,0.0,0.0,23.0,563.0,0.0,0.0,31.0,2.0,362.0
ZoneA,2023-01-01 6:00,336.0,212.0,0.0,0.0,13.0,591.0,0.0,0.0,30.0,1.0,365.0
ZoneA,2023-01-01 7:00,327.0,210.0,0.0,0.0,11.0,579.0,0.0,0.0,30.0,1.0,367.0
ZoneA,2023-01-01 8:00,339.0,225.0,0.0,0.0,10.0,608.0,0.0,0.0,30.0,1.0,371.0
ZoneA,2023-01-01 9:00,349.0,235.0,0.0,0.0,18.0,645.0,0.0,0.0,29.0,1.0,371.0
ZoneA,2023-01-01 10:00,353.0,240.0,0.0,0.0,32.0,679.0,0.0,0.0,30.0,2.0,368.0
ZoneA,2023-01-01 11:00,370.0,262.0,0.0,0.0,53.0,747.0,0.0,0.0,30.0,4.0,368.0
ZoneA,2023-01-01 12:00,386.0,276.0,0.0,8.0,93.0,801.0,0.0,0.0,31.0,6.0,359.0
ZoneA,2023-01-01 13:00,399.0,273.0,0.0,128.0,83.0,770.0,0.0,0.0,37.0,13.0,330.0
ZoneA,2023-01-01 14:00,386.0,245.0,0.0,257.0,28.0,634.0,0.0,1.0,43.0,18.0,301.0
ZoneA,2023-01-01 15:00,388.0,243.0,0.0,277.0,8.0,594.0,0.0,0.0,45.0,19.0,297.0
ZoneA,2023-01-01 16:00,384.0,238.0,0.0,273.0,0.0,561.0,0.0,0.0,45.0,19.0,296.0
ZoneA,2023-01-01 17:00,389.0,232.0,0.0,273.0,0.0,558.0,0.0,0.0,46.0,19.0,292.0
ZoneA,2023-01-01 18:00,389.0,233.0,0.0,253.0,0.0,581.0,0.0,0.0,44.0,17.0,298.0
ZoneA,2023-01-01 19:00,400.0,239.0,0.0,247.0,0.0,607.0,0.0,0.0,43.0,17.0,302.0
ZoneA,2023-01-01 20:00,382.0,229.0,0.0,221.0,0.0,585.0,0.0,0.0,43.0,16.0,305.0
ZoneA,2023-01-01 21:00,376.0,224.0,0.0,106.0,2.0,618.0,0.0,0.0,37.0,8.0,333.0
ZoneA,2023-01-01 22:00,366.0,223.0,0.0,8.0,19.0,682.0,0.0,0.0,30.0,2.0,360.0
ZoneA,2023-01-01 23:00,393.0,248.0,0.0,0.0,56.0,757.0,0.0,0.0,31.0,4.0,357.0
ZoneA,2023-01-02 0:00,374.0,224.0,0.0,0.0,81.0,650.0,0.0,0.0,34.0,6.0,343.0
ZoneA,2023-01-02 1:00,366.0,221.0,0.0,0.0,72.0,624.0,0.0,0.0,34.0,6.0,345.0
ZoneA,2023-01-02 2:00,339.0,205.0,0.0,0.0,51.0,554.0,0.0,0.0,34.0,4.0,348.0
ZoneA,2023-01-02 3:00,322.0,195.0,0.0,0.0,31.0,491.0,0.0,0.0,34.0,3.0,352.0
ZoneA,2023-01-02 4:00,288.0,176.0,0.0,0.0,17.0,408.0,0.0,0.0,34.0,2.0,355.0
ZoneA,2023-01-02 5:00,279.0,171.0,0.0,0.0,9.0,374.0,0.0,0.0,35.0,1.0,358.0
ZoneA,2023-01-02 6:00,289.0,178.0,0.0,0.0,7.0,385.0,0.0,0.0,34.0,1.0,359.0
ZoneA,2023-01-02 7:00,282.0,175.0,0.0,0.0,7.0,375.0,0.0,0.0,34.0,1.0,359.0
ZoneA,2023-01-02 8:00,278.0,176.0,0.0,0.0,9.0,373.0,0.0,0.0,34.0,1.0,360.0
ZoneA,2023-01-02 9:00,280.0,179.0,0.0,0.0,11.0,388.0,0.0,0.0,34.0,1.0,362.0
ZoneA,2023-01-02 10:00,302.0,198.0,0.0,0.0,22.0,465.0,0.0,0.0,33.0,2.0,363.0
ZoneA,2023-01-02 11:00,344.0,230.0,0.0,0.0,67.0,609.0,0.0,0.0,33.0,5.0,355.0
ZoneA,2023-01-02 12:00,345.0,233.0,0.0,5.0,99.0,641.0,0.0,0.0,34.0,8.0,347.0
ZoneA,2023-01-02 13:00,354.0,233.0,0.0,118.0,65.0,574.0,0.0,0.0,40.0,14.0,321.0
ZoneA,2023-01-02 14:00,350.0,213.0,0.0,246.0,18.0,470.0,0.0,0.0,47.0,20.0,287.0
ZoneA,2023-01-02 15:00,351.0,212.0,0.0,271.0,7.0,425.0,0.0,0.0,50.0,22.0,279.0
ZoneA,2023-01-02 16:00,348.0,205.0,0.0,255.0,5.0,407.0,0.0,1.0,50.0,21.0,279.0
ZoneA,2023-01-02 17:00,353.0,206.0,0.0,247.0,5.0,424.0,0.0,0.0,49.0,20.0,281.0
ZoneA,2023-01-02 18:00,373.0,220.0,0.0,256.0,5.0,443.0,0.0,1.0,49.0,20.0,283.0
ZoneA,2023-01-02 19:00,362.0,219.0,0.0,240.0,5.0,430.0,0.0,1.0,48.0,20.0,288.0
ZoneA,2023-01-02 20:00,348.0,210.0,0.0,210.0,4.0,422.0,0.0,1.0,47.0,18.0,293.0
ZoneA,2023-01-02 21:00,314.0,186.0,0.0,103.0,8.0,413.0,0.0,0.0,41.0,11.0,319.0
ZoneA,2023-01-02 22:00,309.0,186.0,0.0,9.0,35.0,477.0,0.0,0.0,35.0,4.0,347.0
ZoneA,2023-01-02 23:00,326.0,198.0,0.0,0.0,68.0,554.0,0.0,0.0,34.0,6.0,344.0
